Interval*, Id_From*, Id_To_*, Category_name_From, Category_name_To_, Observed_Annual_Transition_number_of_elements, Transition_Intensity_percent_of_t1_category, Uniform_Intensity_percent_of_non_category, Uniform_Annual_Transition_number_of_elements, Hypothesized_Annual_error_number_of_elements, Commission_Intensity_percent_of_transition, Omission_Intensity_percent_of_transition, 
13, 1, 1, Forest, Forest, 0, 0, 0.00287918037796344, 0, 0, 0, 0, 
13, 1, 2, Forest, Other Vegetation, 755, 0.259012254195655, 0.0275074735913699, 79.9964084862796, 675.00359151372, 89.4044492071153, 0, 
13, 1, 3, Forest, Cropland, 69, 0.0236713185953645, 0.00365553191644916, 10.6534502171465, 58.3465497828535, 84.5602170765992, 0, 
13, 1, 4, Forest, Non-Forest, 0, 0, 0.000173210141661646, 0.504894580660985, 0.504894580660985, 0, 100, 
13, 2, 1, Other Vegetation, Forest, 66, 0.0445777273464095, 0.00287918037796344, 4.2610217238495, 61.7389782761505, 93.5439064790159, 0, 
13, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0275074735913699, 0, 0, 0, 0, 
13, 2, 3, Other Vegetation, Cropland, 34, 0.022964283784514, 0.00365553191644916, 5.41118926111687, 28.5888107388831, 84.0847374673033, 0, 
13, 2, 4, Other Vegetation, Non-Forest, 4, 0.00270168044523694, 0.000173210141661646, 0.256441523115627, 3.74355847688437, 93.5889619221093, 0, 
13, 3, 1, Cropland, Forest, 0, 0, 0.00287918037796344, 0.69220368445885, 0.69220368445885, 0, 100, 
13, 3, 2, Cropland, Other Vegetation, 0, 0, 0.0275074735913699, 6.61489131558298, 6.61489131558298, 0, 100, 
13, 3, 3, Cropland, Cropland, 0, 0, 0.00365553191644916, 0, 0, 0, 0, 
13, 3, 4, Cropland, Non-Forest, 1, 0.00415956075038476, 0.000173210141661646, 0.0416397901797994, 0.958360209820201, 95.8360209820201, 0, 
13, 4, 1, Non-Forest, Forest, 9, 0.0924689201684989, 0.00287918037796344, 0.27997956106975, 8.72002043893025, 96.8891159881139, 0, 
13, 4, 2, Non-Forest, Other Vegetation, 1, 0.0102743244631665, 0.0275074735913699, 2.67776391511391, 1.67776391511391, 0, 62.6554083294733, 
13, 4, 3, Non-Forest, Cropland, 2, 0.0205486489263331, 0.00365553191644916, 0.355732814716247, 1.64426718528375, 82.2133592641876, 0, 
13, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000173210141661646, 0, 0, 0, 0, 
14, 1, 1, Forest, Forest, 0, 0, 0.00686966857111277, 0, 0, 0, 0, 
14, 1, 2, Forest, Other Vegetation, 214, 0.073604523582683, 0.00778835473553804, 22.6291915713247, 191.370808428675, 89.4256114152688, 0, 
14, 1, 3, Forest, Cropland, 24, 0.00825471292516071, 0.00247192536874337, 7.18653435852299, 16.813465641477, 70.0561068394875, 0, 
14, 1, 4, Forest, Non-Forest, 0, 0, 6.92838886552482e-05, 0.201438195957144, 0.201438195957144, 0, 100, 
14, 2, 1, Other Vegetation, Forest, 174, 0.117007827420179, 0.00686966857111277, 10.2044945303702, 163.79550546963, 94.1353479710516, 0, 
14, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00778835473553804, 0, 0, 0, 0, 
14, 2, 3, Other Vegetation, Cropland, 47, 0.0316055625790139, 0.00247192536874337, 3.67487981271395, 43.3251201872861, 92.1811067814597, 0, 
14, 2, 4, Other Vegetation, Non-Forest, 0, 0, 6.92838886552482e-05, 0.103030756525161, 0.103030756525161, 0, 100, 
14, 3, 1, Cropland, Forest, 0, 0, 0.00686966857111277, 1.65879543024351, 1.65879543024351, 0, 100, 
14, 3, 2, Cropland, Other Vegetation, 0, 0, 0.00778835473553804, 1.88064472217794, 1.88064472217794, 0, 100, 
14, 3, 3, Cropland, Cropland, 0, 0, 0.00247192536874337, 0, 0, 0, 0, 
14, 3, 4, Cropland, Non-Forest, 2, 0.00828328846552081, 6.92838886552482e-05, 0.0167272208273055, 1.98327277917269, 99.1636389586347, 0, 
14, 4, 1, Non-Forest, Forest, 5, 0.0514085955171705, 0.00686966857111277, 0.667846360629412, 4.33215363937059, 86.6430727874117, 0, 
14, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.00778835473553804, 0.757554382601062, 0.757554382601062, 0, 100, 
14, 4, 3, Non-Forest, Cropland, 0, 0, 0.00247192536874337, 0.240425404500547, 0.240425404500547, 0, 100, 
14, 4, 4, Non-Forest, Non-Forest, 0, 0, 6.92838886552482e-05, 0, 0, 0, 0, 
15, 1, 1, Forest, Forest, 0, 0, 0.00706139886311478, 0, 0, 0, 0, 
15, 1, 2, Forest, Other Vegetation, 732, 0.251819845605537, 0.026676866716478, 77.3707486732635, 654.629251326736, 89.4302255910842, 0, 
15, 1, 3, Forest, Cropland, 24, 0.00825638838050942, 0.00302905173968538, 8.80450847968681, 15.1954915203132, 63.314548001305, 0, 
15, 1, 4, Forest, Non-Forest, 0, 0, 0.000103925724977197, 0.302095768347933, 0.302095768347933, 0, 100, 
15, 2, 1, Other Vegetation, Forest, 168, 0.112978392882361, 0.00706139886311478, 10.4892482610077, 157.510751738992, 93.7563998446383, 0, 
15, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.026676866716478, 0, 0, 0, 0, 
15, 2, 3, Other Vegetation, Cropland, 62, 0.0416944068970619, 0.00302905173968538, 4.50248859806015, 57.4975114019398, 92.737921616032, 0, 
15, 2, 4, Other Vegetation, Non-Forest, 2, 0.00134498086764716, 0.000103925724977197, 0.154536674387201, 1.8454633256128, 92.2731662806399, 0, 
15, 3, 1, Cropland, Forest, 4, 0.0165193689601057, 0.00706139886311478, 1.70968539246496, 2.29031460753504, 57.2578651883761, 0, 
15, 3, 2, Cropland, Other Vegetation, 0, 0, 0.026676866716478, 6.46126016849135, 6.46126016849135, 0, 100, 
15, 3, 3, Cropland, Cropland, 0, 0, 0.00302905173968538, 0, 0, 0, 0, 
15, 3, 4, Cropland, Non-Forest, 1, 0.00412984224002643, 0.000103925724977197, 0.0251635619401428, 0.974836438059857, 97.4836438059857, 0, 
15, 4, 1, Non-Forest, Forest, 12, 0.123418697932737, 0.00706139886311478, 0.685780869319585, 11.3142191306804, 94.2851594223368, 0, 
15, 4, 2, Non-Forest, Other Vegetation, 1, 0.0102848914943947, 0.026676866716478, 2.59421703799756, 1.59421703799756, 0, 61.4527240646031, 
15, 4, 3, Non-Forest, Cropland, 1, 0.0102848914943947, 0.00302905173968538, 0.294493330487563, 0.705506669512437, 70.5506669512437, 0, 
15, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000103925724977197, 0, 0, 0, 0, 
16, 1, 1, Forest, Forest, 0, 0, 0.00721332408390784, 0, 0, 0, 0, 
16, 1, 2, Forest, Other Vegetation, 544, 0.187513787778513, 0.019874796064936, 57.5624898967907, 486.437510103209, 89.4186599454429, 0, 
16, 1, 3, Forest, Cropland, 18, 0.00620450033090668, 0.00327286198549913, 9.4946869962152, 8.5053130037848, 47.2517389099156, 0, 
16, 1, 4, Forest, Non-Forest, 0, 0, 3.4641776319436e-05, 0.100499984930822, 0.100499984930822, 0, 100, 
16, 2, 1, Other Vegetation, Forest, 166, 0.111258562217665, 0.00721332408390784, 10.7512252024097, 155.24877479759, 93.5233583118014, 0, 
16, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.019874796064936, 0, 0, 0, 0, 
16, 2, 3, Other Vegetation, Cropland, 76, 0.05093765499122, 0.00327286198549913, 4.88084790791119, 71.1191520920888, 93.5778317001169, 0, 
