Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
1, 1, 1, Forest, Forest, 359806, 
1, 1, 2, Forest, Other Vegetation, 1360, 
1, 1, 3, Forest, Cropland, 1285, 
1, 1, 4, Forest, Non-Forest, 0, 
1, 2, 1, Other Vegetation, Forest, 30, 
1, 2, 2, Other Vegetation, Other Vegetation, 83250, 
1, 2, 3, Other Vegetation, Cropland, 249, 
1, 2, 4, Other Vegetation, Non-Forest, 0, 
1, 3, 1, Cropland, Forest, 5, 
1, 3, 2, Cropland, Other Vegetation, 0, 
1, 3, 3, Cropland, Cropland, 17360, 
1, 3, 4, Cropland, Non-Forest, 1, 
1, 4, 1, Non-Forest, Forest, 180, 
1, 4, 2, Non-Forest, Other Vegetation, 7, 
1, 4, 3, Non-Forest, Cropland, 51, 
1, 4, 4, Non-Forest, Non-Forest, 9738, 
2, 1, 1, Forest, Forest, 357658, 
2, 1, 2, Forest, Other Vegetation, 1598, 
2, 1, 3, Forest, Cropland, 764, 
2, 1, 4, Forest, Non-Forest, 1, 
2, 2, 1, Other Vegetation, Forest, 28, 
2, 2, 2, Other Vegetation, Other Vegetation, 84534, 
2, 2, 3, Other Vegetation, Cropland, 55, 
2, 2, 4, Other Vegetation, Non-Forest, 0, 
2, 3, 1, Cropland, Forest, 0, 
2, 3, 2, Cropland, Other Vegetation, 0, 
2, 3, 3, Cropland, Cropland, 18944, 
2, 3, 4, Cropland, Non-Forest, 1, 
2, 4, 1, Non-Forest, Forest, 11, 
2, 4, 2, Non-Forest, Other Vegetation, 0, 
2, 4, 3, Non-Forest, Cropland, 0, 
2, 4, 4, Non-Forest, Non-Forest, 9728, 
3, 1, 1, Forest, Forest, 344925, 
3, 1, 2, Forest, Other Vegetation, 10994, 
3, 1, 3, Forest, Cropland, 1768, 
3, 1, 4, Forest, Non-Forest, 10, 
3, 2, 1, Other Vegetation, Forest, 11, 
3, 2, 2, Other Vegetation, Other Vegetation, 85908, 
3, 2, 3, Other Vegetation, Cropland, 213, 
3, 2, 4, Other Vegetation, Non-Forest, 0, 
3, 3, 1, Cropland, Forest, 0, 
3, 3, 2, Cropland, Other Vegetation, 0, 
3, 3, 3, Cropland, Cropland, 19762, 
3, 3, 4, Cropland, Non-Forest, 1, 
3, 4, 1, Non-Forest, Forest, 5, 
3, 4, 2, Non-Forest, Other Vegetation, 0, 
3, 4, 3, Non-Forest, Cropland, 0, 
3, 4, 4, Non-Forest, Non-Forest, 9725, 
4, 1, 1, Forest, Forest, 321182, 
4, 1, 2, Forest, Other Vegetation, 22660, 
4, 1, 3, Forest, Cropland, 1094, 
