N1,N2,Value
FOR1995,FOR2015,41.7707838
FOR1995,MNG2015,0.6276268
FOR1995,OPM2015,1.8365455
FOR1995,RBM2015,2.3057344
FOR1995,SHB2015,6.1749973
FOR1995,RPD2015,0.0198304
FOR1995,BUA2015,0.0014367
FOR1995,BSG2015,0.0080221
FOR1995,WTR2015,0.0015423
MNG1995,FOR2015,0.9209581
MNG1995,MNG2015,5.9346984
MNG1995,OPM2015,0.3311349
MNG1995,RBM2015,0.0171556
MNG1995,SHB2015,0.3683237
MNG1995,RPD2015,0.0832681
MNG1995,BUA2015,0.0024994
MNG1995,BSG2015,0.0706802
MNG1995,WTR2015,0.0308273
OPM1995,FOR2015,0.9464485
OPM1995,MNG2015,0.0062031
OPM1995,OPM2015,0.7700268
OPM1995,RBM2015,0.3691181
OPM1995,SHB2015,0.5684315
OPM1995,RPD2015,0.001686
OPM1995,BUA2015,0.0000021
OPM1995,BSG2015,0.0015465
OPM1995,WTR2015,0.0026135
RBM1995,FOR2015,0.243561
RBM1995,MNG2015,0.0005303
RBM1995,OPM2015,0.033783
RBM1995,RBM2015,0.6123114
RBM1995,SHB2015,1.6439612
RBM1995,RPD2015,0.0054995
RBM1995,BUA2015,0
RBM1995,BSG2015,0.0002704
RBM1995,WTR2015,0.0000254
SHB1995,FOR2015,2.587061
SHB1995,MNG2015,0.1730329
SHB1995,OPM2015,2.0664771
SHB1995,RBM2015,5.6921938
SHB1995,SHB2015,18.2906024
SHB1995,RPD2015,0.2295999
SHB1995,BUA2015,0.00105
SHB1995,BSG2015,0.0426946
SHB1995,WTR2015,0.0095666
RPD1995,FOR2015,0.0050157
RPD1995,MNG2015,0.1181244
RPD1995,OPM2015,0.0190655
RPD1995,RBM2015,0.0545747
RPD1995,SHB2015,0.9745482
RPD1995,RPD2015,0.738534
RPD1995,BUA2015,0.0007521
RPD1995,BSG2015,0.0292216
RPD1995,WTR2015,0.0014472
BUA1995,FOR2015,0.0001732
BUA1995,MNG2015,0.0053136
BUA1995,OPM2015,0.0002599
BUA1995,RBM2015,0.0004669
BUA1995,SHB2015,0.020048
BUA1995,RPD2015,0.0046164
BUA1995,BUA2015,0.0040058
BUA1995,BSG2015,0.0068073
BUA1995,WTR2015,0.0003042
BSG1995,FOR2015,0.0353274
BSG1995,MNG2015,0.3891153
BSG1995,OPM2015,0.0184169
BSG1995,RBM2015,0.025894
BSG1995,SHB2015,0.3446143
BSG1995,RPD2015,0.9459034
BSG1995,BUA2015,0.0051868
BSG1995,BSG2015,0.4227547
BSG1995,WTR2015,0.1233344
WTR1995,FOR2015,0.1692341
WTR1995,MNG2015,0.0528211
WTR1995,OPM2015,0.0135153
WTR1995,RBM2015,0.0001056
WTR1995,SHB2015,0.0148717
WTR1995,RPD2015,0.003448
WTR1995,BUA2015,0.0001458
WTR1995,BSG2015,0.084954
WTR1995,WTR2015,0.5627165
