Class	PixelSum	Percentage %	Area [degree^2]
10.0	14758	3.11796197937	0.107183415786
11.0	3214	0.67903034298	0.0233424243349
12.0	24	0.0050705439426	0.000174305595531
20.0	6403	1.35277886935	0.0465032803412
30.0	14540	3.07190453856	0.105600139959
40.0	6559	1.38573740498	0.0476362667121
50.0	264019	55.7799975492	1.91749954278
60.0	238	0.0502828940975	0.00172853048902
61.0	7	0.00147890864993	5.083913203e-05
70.0	1212	0.256062469101	0.00880243257434
80.0	24	0.0050705439426	0.000174305595531
100.0	20819	4.39848559754	0.15120284139
110.0	4	0.0008450906571	2.90509325886e-05
120.0	36832	7.78159477058	0.267500987276
121.0	70393	14.8721166563	0.511245574427
122.0	1	0.000211272664275	7.26273314714e-06
130.0	813	0.171764676056	0.00590460204863
150.0	9	0.00190145397848	6.53645983243e-05
160.0	17	0.00359163529268	0.000123466463501
170.0	23463	4.95709052189	0.170405507831
180.0	289	0.0610577999755	0.00209892987952
190.0	86	0.0181694491277	0.000624595050654
210.0	9598	2.02779503171	0.0697077127463
